"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
phys_health_con,about_your_health," ",checkbox,"<div class=""rich-text-field-label""><p><br />Which of the following PHYSICAL health conditions apply to you?</p> <p><br /><span style=""font-weight: normal;"">Select all that apply.</span></p> <p><span style=""font-weight: normal;"">You can choose the option even if the condition is not currently a health issue for you due to current treatments. </span></p></div>","1, Arthritis | 2, Asthma | 3, Balance problems | 4, Bladder problems | 5, Bone disease (e.g., osteoporosis) | 6, Bowel problems (e.g., inflammatory bowel disease, irritable bowels, diverticulitis, chronic constipation) | 7, Cancer | 8, Chronic obstructive pulmonary disease (COPD) | 9, Chronic pain | 10, Circulation problems (e.g., painful varicose veins, Raynaud's syndrome, peripheral vascular disease) | 11, Diabetes | 12, Epilepsy (seizures) | 13, Hearing problems | 14, Heart disease (e.g., heart attack, heart failure, arrhythmias, angina, heart valve problems) | 15, Heartburn (acid reflux) | 16, High blood pressure | 17, High cholesterol | 18, Kidney problems | 19, Memory problems | 20, Parkinsons disease | 21, Stroke or mini stroke | 22, Vision problems | 99, Other | 0, None",,,,,,,y,,,,," @NONEOFTHEABOVE=0"
ment_health_con,about_your_health,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following MENTAL health conditions do you live with? </p> <p><br /><span style=""font-weight: normal;"">Select all that apply.</span></p> <p><span style=""font-weight: normal;"">You can choose the option even if the condition is not currently a health issue for you (due to past or current treatments). </span></p> <p> </p></div>","1, Depression | 2, Anxiety disorder | 3, Post-traumatic stress disorder (PTSD) | 4, Obsessive-compulsive disorder (OCD) | 5, Bipolar disorder | 6, Substance use disorder | 9, Other | 0, None",,,,,,,y,,,,," @NONEOFTHEABOVE=0"
n_health_conditions,about_your_health,,text,"<div class=""rich-text-field-label""><p>Count of health conditions<br /><br /><span style=""font-weight: normal;"">Total count of health conditions (sleep, physical, mental), including ""other"" </span><br /><br /><span style=""font-weight: normal;"">Sum manually after survey complete.</span></p></div>",,,integer,0,50,,,,,,,," @HIDDEN-SURVEY"
phq1,about_your_health,"Respond to each of the following 2 questions using the 4 options provided. 
OVER THE LAST 2 WEEKS, how often have you been bothered by the following problems? ",radio,"Experiencing little interest or pleasure in doing things","0, Not at all | 1, On several days | 2, On more than half the days | 3, Nearly every day",,,,,,,y,,,phq,,
phq2,about_your_health,,radio,"Feeling down, depressed, or hopeless","0, Not at all | 1, On several days | 2, On more than half the days | 3, Nearly every day",,,,,,,y,,,phq,,
phq2_score,about_your_health,,calc,"<div class=""rich-text-field-label""><p>PHQ-2 score<br /><br /></p> <p><span style=""font-weight: normal;"">Among studies that used semistructured interviews, PHQ-2 sensitivity and specificity (95% CI) were 0.91 (0.88-0.94) and 0.67 (0.64-0.71) for cutoff scores of 2 or greater and 0.72 (0.67-0.77) and 0.85 (0.83-0.87) for cutoff scores of 3 or greater. </span></p></div>",[phq1]+[phq2],,,,,,,,,,,," @HIDDEN-SURVEY"
mobil_aid,about_your_health," ",radio,"Do you use a mobility aid (e.g., cane, walker, wheelchair, scooter)?","0, Never | 1, Less than daily | 2, Daily",,,,,,,y,,,,,
fall,about_your_health,,radio,"Have you had any falls in the last two years?","0, None | 1, 1-2 falls | 2, 3-5 falls | 3, More than 5 falls",,,,,,,y,,,,,
fall2,about_your_health,,radio,"<div class=""rich-text-field-label""><p>What happened as a result of your most serious fall?</p> <p> </p> <p><span style=""font-weight: normal;"">Minor injury: minor scrape, bruise, bump, or cut </span></p> <p><span style=""font-weight: normal;"">Major injury: concussion, broken bone, cut requiring multiple stitches, severe bruising, muscle or tendon damage, loss of function </span></p></div>","1, I was not injured | 2, I had a minor injury | 3, I had a serious injury",,,,,,"[fall] = '1' or [fall] = '2' or [fall] = '3'",y,,,,,
med_quant,about_your_health," ",text,"<div class=""rich-text-field-label""><p>How many different types of medication do you take regularly?</p> <p><span style=""font-weight: normal;"">Count the TYPES of medications you take or use. For example, if you take 1 or 2 tablets of acetaminophen (Tylenol) three times a day you should count that as one (1) type of medication. </span></p> <p><span style=""font-weight: normal;"">Your total count should include all forms of medication that you take regularly:</span><br /><span style=""font-weight: normal;"">- prescription medications</span><br /><span style=""font-weight: normal;"">- over-the-counter medications</span><br /><span style=""font-weight: normal;"">- vitamins and supplements</span><br /><span style=""font-weight: normal;"">- natural health products </span></p> <p><span style=""font-weight: normal;"">Include pills, eye/ear drops, inhalers and sprays, injections, and medicated creams.</span></p> <p><span style=""font-weight: normal;"">Regular use can include medications taken less often than daily. </span></p></div>",,"examples: 5, 9, 18",integer,0,50,,,y,,,,," @CHARLIMIT=2"
op_use,about_your_health,,radio,"<div class=""rich-text-field-label""><p>How often do you take a prescription opioid medication? <br /><br /><span style=""font-weight: normal;"">Examples of these are: </span><br /><span style=""font-weight: normal;"">  Buprenorphine</span><br /><span style=""font-weight: normal;"">  Codeine </span><br /><span style=""font-weight: normal;"">  Hydrocodone </span><br /><span style=""font-weight: normal;"">  Hydromorphone </span><br /><span style=""font-weight: normal;"">  Methadone</span><br /><span style=""font-weight: normal;"">  Morphine </span><br /><span style=""font-weight: normal;"">  Oxycodone </span><br /><span style=""font-weight: normal;"">  Oxymorphone</span><br /><span style=""font-weight: normal;"">  Tramadol </span></p></div>","0, I do not take them | 1, Less than 3 days per week | 2, 3-6 days per week | 3, 7 days per week",,,,,,,y,,,,,
med_burden_1,about_your_health,"Rate your level of agreement with the following statements: ",radio,"I take too many medications","1, Strongly Disagree | 2, Disagree | 3, Uncertain | 4, Agree | 5, Strongly Agree",,,,,,,y,,,medication_burden,,
med_burden2,about_your_health,,radio,"I am comfortable with the amount of medications I take","1, Strongly Disagree | 2, Disagree | 3, Uncertain | 4, Agree | 5, Strongly Agree",,,,,,,y,,,medication_burden,,
medburden_3,about_your_health,,radio,"I would like to decrease the overall number of medications I take","1, Strongly Disagree | 2, Disagree | 3, Uncertain | 4, Agree | 5, Strongly Agree",,,,,,,y,,,medication_burden,,
med_burden_4,about_your_health,,radio,"All my medications have an important purpose for my health","1, Strongly Disagree | 2, Disagree | 3, Uncertain | 4, Agree | 5, Strongly Agree",,,,,,,y,,,medication_burden,,
caf_use,about_your_health,,radio,"What is your usual consumption of caffeine (e.g. coffee, tea, pop)?  ","0, None | 1, Less than once daily | 2, Once daily | 3, Multiple times per day",,,,,,,y,,,,,
nico_use,about_your_health,,radio,"Do you use any nicotine products? ","1, Yes | 2, No",,,,,,,y,,,,,
alt_nic_use,about_your_health,,checkbox,"<div class=""rich-text-field-label""><p>What nicotine products do you use? <br /><br /><span style=""font-weight: normal;"">Select all that apply.</span></p></div>","1, Cigarettes | 2, Vaping devices | 3, Patches | 4, Gum | 5, Chewing tobacco",,,,,,"[nico_use] = '1'",y,,,,,
nicotine_freq,about_your_health,,radio,"How often do you use these products? ","1, Less than 3 days per week | 2, 3-6 days per week | 3, 7 days per week",,,,,,"[nico_use] = '1'",y,,,,,
alc_use_wmn,about_your_health,,radio,"<div class=""rich-text-field-label""><p>How often do you drink alcohol? <br /><br /><span style=""font-weight: normal;"">One standard drink of alcohol is equal to:</span></p> <ul> <li><span style=""font-weight: normal;"">Beer/Cider/Cooler: 341 ml (12 oz.) of 5% alcohol</span></li> <li><span style=""font-weight: normal;"">Wine: 142 ml (5 oz.) of 12% alcohol</span></li> <li><span style=""font-weight: normal;"">Spirits (rye, gin, rum, etc.): 43 ml (1.5 oz.) of 40% alcohol</span></li> </ul></div>","0, Never | 1, Less than one drink per week | 2, 1-5 drinks per week | 3, 6-10 drinks per week | 4, More than 10 drinks per week",,,,,,"[sex] = '1'",y,,,,,
alc_use_men,about_your_health,,radio,"<div class=""rich-text-field-label""><p>How often do you drink alcohol? <br /><br /><span style=""font-weight: normal;"">One standard drink of alcohol is equal to:</span></p> <ul> <li><span style=""font-weight: normal;"">Beer/Cider/Cooler: 341 ml (12 oz.) of 5% alcohol</span></li> <li><span style=""font-weight: normal;"">Wine: 142 ml (5 oz.) of 12% alcohol</span></li> <li><span style=""font-weight: normal;"">Spirits (rye, gin, rum, etc.): 43 ml (1.5 oz.) of 40% alcohol</span></li> </ul></div>","1, Never | 2, Less than one drink per week | 3, 1-7 drinks per week | 4, 8-14 drinks per week | 5, More than 14 drinks per week",,,,,,"[sex] = '2'",y,,,,,
can_use,about_your_health,,radio,"<div class=""rich-text-field-label""><p>How often do you use cannabis products (of any kind)? <br /><br /><span style=""font-weight: normal;"">This includes cannabis cigarettes, oils, edibles, etc. Consider any products containing CBD, THC, or both to be cannabis products.</span></p></div>","0, Never | 1, Less than 1 day per week | 2, 1-3 days per week | 3, 4-6 days per week | 4, 7 days per week",,,,,,,y,,,,,
can_use_rsn,about_your_health,,checkbox,"<div class=""rich-text-field-label""><p>What do you use cannabis for? <br /><br /><span style=""font-weight: normal;"">Select all that apply</span></p></div>","1, Relaxation or socializing | 2, Health reasons | 3, To help with sleep",,,,,,"[can_use] = '1' or [can_use] = '2' or [can_use] = '3' or [can_use] = '4'",,,,,,
c_sp,about_your_sleep_medication_use,,checkbox,"<div class=""rich-text-field-label""><p>Which of the listed prescription sleeping pills have you taken ""regularly"" in the past two (2) years? <br /><br /><span style=""font-weight: normal;"">""Regularly"" means that at some point during the last 2 years you took the medication for sleep on 3 or more nights per week for 3 months or longer. You do not need to be taking the medication currently.</span></p> <p> </p> <p><span style=""font-weight: normal;"">Select all that apply.</span></p></div>","1, Alprazolam | 2, Bromazepam | 3, Chlordiazepoxide | 4, Clonazepam | 5, Diazepam | 6, Eszopiclone | 7, Flurazepam | 8, Lorazepam | 9, Nitrazepam | 10, Oxazepam | 11, Temazepam | 12, Triazolam | 13, Zolpidem | 14, Zopiclone",,,,,,,y,,,,,
freq_dich,about_your_sleep_medication_use,,radio,"<div class=""rich-text-field-label""><p>How often are you currently taking them?<br /><br /><br /><br /></p></div>","2, More than once per month   (>1/month) | 1, Not more than once a month   (≤ 1/month) | 0, I am not currently taking any",,,,,,,y,,,,,
alp_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take ALPRAZOLAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(1)] = '1'",y,,,,,
alp_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take ALPRAZOLAM, what is your usual total daily dose?","1, 0.25 mg per 24 hours | 2, 0.5 mg per 24 hours | 3, 1 mg per 24 hours | 4, 1.5 mg per 24 hours | 5, 2 mg per 24 hours | 6, 2.5 mg per 24 hours | 7, 3 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(1)] = '1'",y,,,,," @NONEOFTHEABOVE=0"
alp_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual daily dose of ALPRAZOLAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number of mg</span> per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' AND [alp_24dose_curr(0)] = '1'",y,,,,,
brom_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take BROMAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(2)] = '1'",y,,,,,
brom_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take BROMAZEPAM, what is your usual total daily dose?","1, 1.5  mg per 24 hours | 2, 3 mg per 24 hours | 3, 4.5 mg per 24 hours | 4, 6 mg per 24 hours | 5, 9 mg per 24 hours | 6, 12 mg per 24 hours | 7, 18 mg per 24 hours | 0, Other",,,,,,"[c_sp(2)] = '1' and [freq_dich] = '2'",y,,,,,
brom_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of BROMAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' AND [brom_24dose_curr(0)] = '1'",y,,,,,
chlo_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take CHLORDIAZEPOXIDE?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[c_sp(3)] = '1' and [freq_dich] = '2'",y,,,,,
chlo_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take CHLORDIAZEPOXIDE, what is your usual total daily dose?","1, 5  mg per 24 hours | 2, 10 mg per 24 hours | 3, 20 mg per 24 hours | 4, 25 mg per 24 hours | 5, 50 mg per 24 hours | 0, Other",,,,,,"[c_sp(3)] = '1' and [freq_dich] = '2'",y,,,,," @NONEOFTHEABOVE = 0"
chlo_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of CHLORDIAZEPOXIDE? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [chlo_24dose_curr(0)] = '1'",y,,,,,
clon_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take CLONAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(4)] = '1'",y,,,,,
clon_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take CLONAZEPAM, what is your usual total daily dose?","1, 0.25 mg per 24 hours | 2, 0.5 mg per 24 hours | 3, 1 mg per 24 hours | 4, 1.5 mg per 24 hours | 5, 2 mg per 24 hours | 6, 3 mg per 24 hours | 7, 4 mg per 24 hours | 0, Other",,,,,,"[c_sp(4)] = '1' and [freq_dich] = '2'",y,,,,," @NONEOFTHEABOVE = 0"
clo_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of CLONAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [clon_24dose_curr(0)] = '1'",y,,,,,
dia_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take DIAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(5)] = '1'",y,,,,,
dia_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take DIAZEPAM, what is your usual total daily dose?","1, 1 mg per 24 hours | 2, 2 mg per 24 hours | 3, 2.5 mg per 24 hours | 4, 4 mg per 24 hours | 5, 5 mg per 24 hours | 6, 10 mg per 24 hours | 7, 20 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(5)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
dia_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of DIAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [dia_24dose_curr(0)] = '1'",y,,,,,
eszo_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take ESZOPICLONE?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(6)] = '1'",y,,,,,
eszo_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take ESZOPICLONE, what is your usual total daily dose?","1, 0.5 mg per 24 hours | 2, 1 mg per 24 hours | 3, 2 mg per 24 hours | 4, 3 mg per 24 hours | 5, 4 mg per 24 hours | 6, 4.5 mg per 24 hours | 7, 6 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(6)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
eszo_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of ESZOPICLONE? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [eszo_24dose_curr(0)] = '1'",y,,,,,
flur_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take FLURAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(7)] = '1'",y,,,,,
flura_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take FLURAZEPAM, what is your usual total daily dose?","1, 15 mg per 24 hours | 2, 30 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(7)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
flur_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of FLURAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [flura_24dose_curr(0)] = '1'",y,,,,,
lor_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take LORAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(8)] = '1'",y,,,,,
loraz_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take LORAZEPAM, what is your usual total daily dose?","1, 0.25 mg per 24 hours | 2, 0.5 mg per 24 hours | 3, 1 mg per 24 hours | 4, 1.5 mg per 24 hours | 5, 2 mg per 24 hours | 6, 3 mg per 24 hours | 7, 4 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(8)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
loraz_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of LORAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [loraz_24dose_curr(0)] = '1'",y,,,,,
nitra_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take NITRAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(9)] = '1'",y,,,,,
nitraz_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take NITRAZEPAM, what is your usual total daily dose?","1, 2.5 mg per 24 hours | 2, 5 mg per 24 hours | 3, 7.5 mg per 24 hours | 4, 10 mg per 24 hours | 5, 15 mg per 24 hours | 6, 20 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(9)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
nitraz_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of NITRAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [nitraz_24dose_curr(0)] = '1'",y,,,,,
oxaz_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take OXAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(10)] = '1'",y,,,,,
oxaz_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take OXAZEPAM, what is your usual total daily dose?","1, 5 mg per 24 hours | 2, 10 mg per 24 hours | 3, 15 mg per 24 hours | 4, 22.5 mg per 24 hours | 5, 30 mg per 24 hours | 6, 45 mg per 24 hours | 7, 60 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(10)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
oxaz_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of OXAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [oxaz_24dose_curr(0)] = '1'",y,,,,,
temaz_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take TEMAZEPAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(11)] = '1'",y,,,,,
temaz_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take TEMAZEPAM, what is your usual total daily dose?","1, 15 mg per 24 hours | 2, 30 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(11)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
temaz_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of TEMAZEPAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [temaz_24dose_curr(0)] = '1'",y,,,,,
triaz_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take TRIAZOLAM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(12)] = '1'",y,,,,,
triaz_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take TRIAZOLAM, what is your usual total daily dose?","1, 0.0625 mg  per 24 hours | 2, 0.125 mg per 24 hours | 3, 0.25 mg per 24 hours | 4, 0.5 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(12)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
triaz_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of TRIAZOLAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [triaz_24dose_curr(0)] = '1'",y,,,,,
zolp_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take ZOLPIDEM?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(13)] = '1'",y,,,,,
zolp_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take ZOLPIDEM, what is your usual total daily dose?","1, 5 mg  per 24 hours | 2, 10 mg per 24 hours | 3, 15 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(13)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
zolpi_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of ZOLPIDEM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [zolp_24dose_curr(0)] = '1'",y,,,,,
zopi_use_freq_curr,about_your_sleep_medication_use,,radio,"On average, how many days per week do you take ZOPICLONE?    ","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[freq_dich] = '2' and [c_sp(14)] = '1'",y,,,,,
zopi_24dose_curr,about_your_sleep_medication_use,,checkbox,"On the days that you take ZOPICLONE, what is your usual total daily dose?","1, 2.5 mg  per 24 hours | 2, 3.75 mg per 24 hours | 3, 5 mg per 24 hours | 4, 7.5 mg per 24 hours | 0, Other",,,,,,"[freq_dich] = '2' and [c_sp(14)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
zopi_mg_other_curr,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What is your usual dose of ZOPICLONE? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[freq_dich] = '2' and [zopi_24dose_curr(0)] = '1'",y,,,,,
alp_use_freq_past,about_your_sleep_medication_use,,radio,"<div class=""rich-text-field-label""><p>How many days per week did you regularly take ALPRAZOLAM?<br /><br /><span style=""font-weight: normal;"">Choose the highest option that applies to you in the past 2 years. </span></p></div>","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"([freq_dich] = '0' OR [freq_dich] = '1') AND [c_sp(1)] = '1'",y,,,,,
alp_24dose_past,about_your_sleep_medication_use,,checkbox,"On the days that you took ALPRAZOLAM, what was your usual total daily dose?","1, 0.25 mg per 24 hours | 2, 0.5 mg per 24 hours | 3, 1 mg per 24 hours | 4, 1.5 mg per 24 hours | 5, 2 mg per 24 hours | 6, 2.5 mg per 24 hours | 7, 3 mg per 24 hours | 0, Other",,,,,,"([freq_dich] = '0' OR [freq_dich] = '1') AND [c_sp(1)] = '1'",y,,,,," @NONEOFTHEABOVE = 0"
alp_mg_other_past,about_your_sleep_medication_use,,text,"<div class=""rich-text-field-label""><p>""Other"": What was your usual dose of ALPRAZOLAM? <br /><br /><span style=""font-weight: normal;"">Indicate the dose as the <span style=""text-decoration: underline;"">number</span> of mg per 24 hours.</span></p></div>",,,number,0.01,100,,"[alp_24dose_past(0)] = '1'",y,,,,,
brom_use_freq_past,about_your_sleep_medication_use,,radio,"<div class=""rich-text-field-label""><p>How many days per week did you regularly take BROMAZEPAM?<br /><br /><span style=""font-weight: normal;"">Choose the highest option that applies to you in the past 2 years. </span></p></div>","1, 7 days/week | 2, 6 days/week | 3, 5 days/week | 4, 4 days/week | 5, 3 days/week | 6, 2 days/week | 7, 1 day/week | 8, Less than 1 day/week",,,,,,"[c_sp(2)] = '1' and ([freq_dich] = '0' OR [freq_dich] = '1')",y,,,,,
